cluster_id,clusterKey,asin,fnsku,seller_sku,partial_triad,rows_seen_total,rows_seen_afi,rows_seen_manage_fba,rows_seen_fba_inv,source_tables_seen,distinct_conflicting_product_ids,product_ids,non_f2_conflict_present,titles_seen_count,titles_top1,titles_top2,vendor_hint,severity,severity_reasons,recommended_review_action
ee55db9589c4,B08SRCR2X9::X003T1G6MJ::B08SRCR2X9-BOB-VEN,B08SRCR2X9,X003T1G6MJ,B08SRCR2X9-BOB-VEN,false,3,1,1,1,"amazon_amazon_fulfilled_inventory,amazon_manage_fba_inventory,amazon_fba_inventory",2,"534f3514-265a-4325-a19c-14504056d1b8,bbbca668-756d-4be6-a14f-27abeeebf2da",false,2,Bob's Red Mill Resealable Unsweetened Coconut Flakes 10 Ounce (Pack of 2),,Bob's Red Mill,high,two_pids_multi_table,manual_dedupe_required
02b60c3f0f07,B004WFDUII::X002P0QIMX::P4-5J33-OXB5,B004WFDUII,X002P0QIMX,P4-5J33-OXB5,false,2,0,1,1,"amazon_manage_fba_inventory,amazon_fba_inventory",2,"6e82e8d4-a772-40d3-98e7-7d3af1b5430a,d3c13b06-de46-42e2-bee8-8ad1c74d14f2",false,2,"Neutrogena Rainbath Shower & Bath Gel, 40oz, 1count, Cleanses, Softens, Conditions Skin, Fragrance Blend of Spices, Fruits, Herbs",,Neutrogena Rainbath,high,two_pids_multi_table,manual_dedupe_required
0e5f43f741a0,B0033YY3WG::X004V0R11H::B0033YY3WG-VEN,B0033YY3WG,X004V0R11H,B0033YY3WG-VEN,false,2,0,1,1,"amazon_manage_fba_inventory,amazon_fba_inventory",2,"c97f1064-6d62-4131-8da5-2147453ab465,cd465bef-91ba-43a6-8202-92b0cf98501d",false,2,"Nintendo Question Mark Box Coin Candies, Sour Strawberry, 1.2OZ",,Nintendo Question,high,two_pids_multi_table,manual_dedupe_required
185c5f95af3b,B007BOEI88::X003VTDP0Z::B007BOEI88-VEN,B007BOEI88,X003VTDP0Z,B007BOEI88-VEN,false,2,1,1,0,"amazon_amazon_fulfilled_inventory,amazon_manage_fba_inventory",2,"5c564aef-6e66-4af0-bc6e-fb1709588f38,b856e2f7-ab9b-46e8-9cc6-7e85af7fcd49",false,1,"Weiman Stainless Steel Cleaner and Polish Trigger Spray, 12 Fl Oz (Pack of 6)",,Weiman Stainless,high,two_pids_multi_table,manual_dedupe_required
2198a00af351,B007IEEP7K::X004V0R13F::B007IEEP7K-VEN,B007IEEP7K,X004V0R13F,B007IEEP7K-VEN,false,2,0,1,1,"amazon_manage_fba_inventory,amazon_fba_inventory",2,"86f3fea0-4df3-4453-b753-bba0187ec6a9,ccfa8ba1-e9e8-42b2-ac47-5f1abc367b0d",false,2,"Boston America Gag Gifts Memory Mints, Sugar Candy for Senior Moments Fun Gag Tin",,Boston America,high,two_pids_multi_table,manual_dedupe_required
269dbde10710,B00BAVLSHM::X0036UHPE1::PH-W40O-GFFV,B00BAVLSHM,X0036UHPE1,PH-W40O-GFFV,false,2,0,1,1,"amazon_manage_fba_inventory,amazon_fba_inventory",2,"02e1e703-9855-4352-9363-ebc6d1fcd002,a9c984a3-ea4b-4dd3-a875-6da5a3975ed8",false,2,"Neutrogena Rainbath Refreshing Shower and Bath Gel 40 Oz Bottle, Pack of 2",,Neutrogena Rainbath,high,two_pids_multi_table,manual_dedupe_required
466813384f34,B088KR43RM::X004JUVL47::TK-L2JJ-QIRX,B088KR43RM,X004JUVL47,TK-L2JJ-QIRX,false,2,0,1,1,"amazon_manage_fba_inventory,amazon_fba_inventory",2,"8665889e-ae02-47cd-9e74-b4156fc73be5,fe99a598-e68b-4af5-9c5f-8496a9cf4ead",false,2,Boston America Dungeon and Dragons D&D DND D20 +1 Potion Sour Candy Collectible Tin - One (1) Tin - Sour Cherry Flavor,,Boston America,high,two_pids_multi_table,manual_dedupe_required
5119b4a8ffaa,B083KBRFLT::X003T1GK07::B083KBRFLT-BOB-VEN,B083KBRFLT,X003T1GK07,B083KBRFLT-BOB-VEN,false,2,0,1,1,"amazon_manage_fba_inventory,amazon_fba_inventory",2,"3997489f-4332-4ca3-b3b2-151a0ecdcc3e,730d0865-d308-4c2a-abaf-45b26501cb78",false,2,"Bob's Red Mill Millet Flour, 20 Oz",,Bob's Red Mill,high,two_pids_multi_table,manual_dedupe_required
5c0573e3cb3c,B092MT4FDS::X003B9QY7B::KEH-00355699-VEN1,B092MT4FDS,X003B9QY7B,KEH-00355699-VEN1,false,2,1,0,1,"amazon_amazon_fulfilled_inventory,amazon_fba_inventory",2,"b7146df2-ba6c-40d8-b5ec-884fcb78ad34,b8c11197-feca-4397-9990-13f9ef062055",false,1,"Bob's Red Mill High Fiber Wheat Bran, 16 OZ (Pack of 3)",,Bob's Red Mill,high,two_pids_multi_table,manual_dedupe_required
5e6cde4736c6,B092JSHQH7::X003T17BGT::B092JSHQH7-BOB-VEN,B092JSHQH7,X003T17BGT,B092JSHQH7-BOB-VEN,false,2,0,1,1,"amazon_manage_fba_inventory,amazon_fba_inventory",2,"8516ccc2-9dd5-4736-920e-ebe83bd3ff80,e471da8d-6a58-45a6-9d3e-a8ba48938a90",false,2,"Bob's Red Mill Organic Gluten Free Creamy Buckwheat Hot Cereal, 18 Ounce (Pack of 2)",,Bob's Red Mill,high,two_pids_multi_table,manual_dedupe_required
695b54802e22,B07C8NTWHD::X004X513KZ::B07C8NTWHD-VEN,B07C8NTWHD,X004X513KZ,B07C8NTWHD-VEN,false,2,0,1,1,"amazon_manage_fba_inventory,amazon_fba_inventory",2,"131c7d38-849e-43d8-a543-551275c054f7,91e09e71-3aa0-4698-93d9-f05eab090255",false,2,Bob Ross Happy Little Tree Mints (1),,Bob Ross,high,two_pids_multi_table,manual_dedupe_required
70d573c79e91,B097HV9NX4::X003T1G7KF::B097HV9NX4-BOB-VEN,B097HV9NX4,X003T1G7KF,B097HV9NX4-BOB-VEN,false,2,0,1,1,"amazon_manage_fba_inventory,amazon_fba_inventory",2,"b8f2e2da-8cc8-405c-958a-6bc86511b45d,bc9a89a6-e1ff-46a1-b05b-77546cb3b24a",false,2,"Bob's Red Mill Millet Flour, 20 Oz (Pack of 2)",,Bob's Red Mill,high,two_pids_multi_table,manual_dedupe_required
7ff582d4ffb7,B08W9JRV8D::X003XCH8PX::B08W9JRV8D-P101438_2PACK,B08W9JRV8D,X003XCH8PX,B08W9JRV8D-P101438_2PACK,false,2,0,1,1,"amazon_manage_fba_inventory,amazon_fba_inventory",2,"467a132f-18fc-4a67-8bcc-8823bd200d15,69b75f5d-f888-4533-862c-719f37dc422d",false,2,Bob's Red Mill Active Dry Yeast (8 Ounce (Pack of 2),,Bob's Red Mill,high,two_pids_multi_table,manual_dedupe_required
9c03f6a52d7c,B098KH3CHV::X004V0NNXR::B098KH3CHV-VEN,B098KH3CHV,X004V0NNXR,B098KH3CHV-VEN,false,2,0,1,1,"amazon_manage_fba_inventory,amazon_fba_inventory",2,"28c23119-46a7-4381-b4f5-ff62f26b1484,bd015cce-51ea-44f4-882d-7c5e32761bb6",false,2,"Boston America Dragonball Z Senzu Beans Candy 1 Collectible Korin Drawstring Bag Sour Green Apple Flavored Candy Green, Brown 2 Ounce (Pack of 1)",,Boston America,high,two_pids_multi_table,manual_dedupe_required
a06acbd61fd0,B092MSZQ7N::X003T1C321::B092MSZQ7N-BOB-VEN,B092MSZQ7N,X003T1C321,B092MSZQ7N-BOB-VEN,false,2,0,1,1,"amazon_manage_fba_inventory,amazon_fba_inventory",2,"a6dfc9c4-6224-4041-9240-64764bd608bf,ec47a286-0ac6-433e-b14a-bc7b29e3f7c1",false,2,"Bob's Red Mill High Fiber Wheat Bran, 16 OZ (Pack of 2)",,Bob's Red Mill,high,two_pids_multi_table,manual_dedupe_required
